라타, 58, 144
다나, 65, 144
나타, 52, 199
나타, 51, 178
카다, 75, 184
차자, 90, 162
나사, 54, 148
타차, 80, 195
나라, 65, 161
라가, 57, 189
라마, 73, 182
자파, 44, 141
라하, 68, 188
카타, 94, 156
나나, 44, 190
자라, 55, 161
타바, 46, 142
가라, 59, 185
차라, 65, 183
차파, 63, 145
다타, 63, 191
타나, 69, 174
다마, 41, 162
타가, 95, 166
라나, 88, 149
하나, 71, 177
라사, 75, 172
바하, 93, 155
사가, 46, 199
마나, 64, 177
사아, 62, 172
나카, 44, 187
아가, 72, 176
자사, 64, 194
아차, 87, 160
자가, 44, 181
다카, 57, 171
타마, 82, 153
다하, 63, 150
자다, 79, 153
파차, 47, 193
타마, 82, 195
나나, 76, 151
아아, 49, 178
파다, 46, 170
바마, 65, 191
아마, 73, 163
파카, 88, 183
아자, 75, 141
다차, 71, 142
바마, 45, 147
자나, 52, 143
자마, 86, 167
차카, 68, 176
가마, 86, 178
파타, 73, 187
나타, 83, 167
차바, 89, 147
하아, 68, 155
나아, 57, 153
타하, 41, 181
바가, 51, 144
카차, 84, 195
다카, 86, 148
파아, 92, 172
파자, 55, 143
마카, 61, 156
자나, 60, 181
사아, 47, 152
바다, 94, 151
바가, 87, 188
카다, 45, 193
가가, 62, 151
사차, 59, 150
파가, 74, 158
다바, 40, 169
마자, 50, 183
아차, 94, 171
다차, 99, 171
파가, 90, 155
차자, 71, 175
파타, 41, 195
차파, 44, 189
하다, 83, 165
가다, 99, 196
바타, 74, 164
차가, 90, 160
라다, 78, 194
자아, 53, 190
타마, 91, 175
사자, 86, 187
타라, 69, 195
라카, 52, 199
사타, 53, 171
가나, 88, 160
하아, 45, 149
타차, 70, 152
사하, 92, 156
타카, 63, 158
파다, 40, 171
나타, 57, 186
마나, 45, 185
라라, 78, 156
자하, 84, 173
나가, 59, 167
아사, 64, 189
자라, 88, 165
하차, 79, 198
사파, 58, 143
아아, 64, 150
하타, 62, 151
바타, 84, 149
다차, 92, 171
파사, 44, 182
나바, 94, 182
가카, 98, 198
파마, 88, 152
가다, 73, 140
다아, 73, 180
카타, 50, 197
카다, 72, 159
파아, 59, 149
마마, 47, 144
마아, 54, 196
타아, 65, 170
나카, 97, 196
다가, 44, 144
바파, 59, 154
차다, 72, 152
사나, 86, 187
라자, 51, 163
파나, 68, 184
카타, 54, 146
하차, 71, 141
타사, 55, 192
아타, 66, 147
아라, 83, 192
자나, 90, 176
마가, 50, 174
가바, 42, 156
나나, 80, 183
바라, 86, 174
가다, 45, 176
라파, 44, 156
아아, 54, 180
자다, 78, 189
하카, 72, 184
마파, 62, 166
차사, 87, 196
나타, 78, 157
아카, 61, 156
다다, 94, 199
라사, 88, 165
카차, 73, 168
자나, 75, 159
나타, 70, 196
자아, 75, 196
타차, 71, 182
가사, 57, 191
마다, 91, 146
파라, 58, 143
가바, 58, 173
하카, 84, 162
사타, 42, 195
카나, 68, 140
사라, 85, 150
하타, 99, 142
라사, 92, 158
바가, 49, 187
바사, 92, 166
차아, 58, 148
카가, 89, 143
다마, 90, 145
사가, 73, 165
아아, 69, 197
파카, 63, 181
바마, 69, 148
바가, 84, 145
바라, 63, 160
바파, 85, 172
카하, 70, 158
파마, 80, 161
사아, 89, 157
가마, 46, 179
아마, 71, 170
가타, 96, 162
파자, 54, 198
사마, 55, 178
나바, 53, 183
아타, 62, 141
자가, 40, 140
카차, 87, 176
마사, 53, 144
아카, 44, 186
라다, 81, 141
카파, 99, 161
자차, 73, 183
마가, 69, 174
자파, 62, 181
나라, 50, 160
아나, 94, 189
가바, 59, 194
타사, 94, 142
사사, 45, 180
사파, 48, 151
자파, 69, 180
라차, 47, 143
마아, 90, 169
사라, 86, 143
라파, 83, 183
아마, 79, 180
차타, 97, 145
다가, 87, 141
아타, 63, 150
차바, 50, 143
사아, 65, 175
나카, 77, 185
파카, 77, 155
마사, 86, 162
사바, 55, 145
타자, 68, 150
다아, 52, 178
나자, 52, 143
자파, 74, 148
자다, 54, 185
하카, 62, 145
하바, 41, 159
파하, 98, 184
바파, 59, 197
마사, 57, 151
자아, 79, 173
다아, 49, 151
라파, 62, 146
가마, 62, 178
카나, 56, 187
바하, 53, 146
나가, 61, 181
차아, 53, 171
가나, 84, 161
차파, 52, 188
파라, 99, 165
카바, 91, 147
다마, 50, 169
카차, 62, 182
자타, 93, 183
자가, 61, 140
타타, 98, 165
타파, 94, 146
라자, 88, 185
타타, 87, 147
타카, 64, 146
차하, 97, 156
자다, 81, 175
바라, 61, 182
바바, 84, 185
바하, 53, 189
자카, 87, 162
가파, 66, 145
가다, 67, 192
자가, 97, 193
타하, 85, 179
아카, 95, 147
타아, 53, 185
가하, 83, 195
다바, 59, 188
타마, 81, 154
자하, 70, 167
사하, 99, 187
아자, 91, 185
차다, 79, 149
다파, 81, 181
카파, 53, 167
하하, 70, 188
다카, 79, 164
마바, 41, 177
자타, 75, 155
다라, 75, 149
카라, 80, 141
가가, 67, 142
자가, 56, 179
사다, 54, 158
다차, 80, 168
아하, 45, 175
카하, 94, 161
아라, 59, 154
라아, 41, 164
마나, 79, 162
다나, 63, 173
하라, 64, 150
마나, 41, 177
마카, 86, 188
하타, 57, 163
나아, 56, 157
하파, 64, 192
사사, 96, 186
아하, 47, 177
카하, 50, 140
마하, 91, 163
카사, 64, 154
타가, 90, 157
나하, 90, 143
차라, 53, 192
아차, 52, 169
타라, 92, 198
차사, 75, 151
마하, 63, 146
사타, 88, 158
타사, 53, 194
나라, 57, 180
아자, 63, 153
카차, 69, 160
차자, 91, 148
자파, 51, 147
사라, 69, 156
차파, 66, 161
하차, 78, 174
나하, 66, 195
차다, 97, 173
타다, 58, 147
카파, 62, 147
가아, 59, 148
자차, 87, 193
가나, 43, 146
가하, 57, 163
가아, 82, 160
바자, 71, 150
카가, 74, 162
하파, 69, 178
카카, 61, 169
바사, 47, 160
하바, 44, 196
가자, 97, 194
다바, 95, 144
라차, 52, 181
차라, 83, 153
다타, 56, 160
카사, 63, 145
바차, 96, 145
라자, 59, 181
아자, 74, 165
자다, 91, 152
하자, 59, 187
가차, 84, 187
타바, 49, 190
아마, 98, 183
마나, 76, 173
자자, 46, 175
하바, 57, 195
아가, 65, 169
파마, 74, 187
카마, 47, 170
하다, 58, 144
아마, 49, 188
마타, 76, 189
마차, 52, 184
아나, 65, 157
다타, 49, 141
차가, 75, 144
나다, 65, 147
사차, 57, 184
차라, 64, 190
다가, 78, 196
아사, 42, 143
자사, 49, 186
바사, 57, 145
